match_id,duration,start_time,radiant_team_id,radiant_name,dire_team_id,dire_name,series_id,series_type,radiant_score,dire_score,radiant_win,radiant,leagueid,name
3354249527,2383,1501805085,1846548,HellRaisers,2512249,123,153280,1,8,34,False,,5401,The International 2017
3354341710,2647,1501812156,2581813,Execration.安博电竞,5,Invictus Gaming,153288,1,8,26,False,,5401,The International 2017
3354284596,1852,1501808275,3331948,LGD.Forever Young,1333179,,153286,1,30,10,True,,5401,The International 2017
3354167956,2534,1501798430,2108395,TNC Predator,46,Team Empire,153264,1,31,15,True,,5401,The International 2017
3354247448,1821,1501805037,15,LGD Gaming,2163,Team Liquid,153276,1,20,36,False,,5401,The International 2017
3354162376,2453,1501798071,2672298,NoPing Esports,350190,Ascent Esports,153262,1,51,41,True,,5401,The International 2017
3354214459,1613,1501802089,350190,Ascent Esports,2672298,NoPing Esports,153262,1,31,21,True,,5401,The International 2017
3354180190,1491,1501799519,1838315,Team Secret,2640025,iG.Vitality,153266,1,22,13,True,,5401,The International 2017
3354159000,1902,1501797769,1883502,Virtus.pro,1333179,,153258,1,22,6,True,,5401,The International 2017
3354120039,1575,1501795287,2581813,Execration.安博电竞,1375614,Newbee,153253,1,13,25,False,,5401,The International 2017
3354063346,2156,1501791916,2581813,Execration.安博电竞,1375614,Newbee,153253,1,16,40,False,,5401,The International 2017
3354118306,1312,1501795143,2586976,OG,1846548,HellRaisers,153252,1,19,7,True,,5401,The International 2017
3354000170,1866,1501788405,2672298,NoPing Esports,2163,Team Liquid,153243,1,11,32,False,,5401,The International 2017
3357776957,4339,1501948824,2512249,123,1333179,,153589,1,21,31,False,,5401,The International 2017
3353916502,2610,1501784092,46,Team Empire,39,Shopify Rebellion,153237,1,16,38,False,,5401,The International 2017
3353994974,2047,1501788243,2640025,iG.Vitality,15,LGD Gaming,153234,1,31,21,True,,5401,The International 2017
3353989523,2036,1501788067,46,Team Empire,39,Shopify Rebellion,153237,1,11,40,False,,5401,The International 2017
3353935010,3616,1501785107,2108395,TNC Predator,1838315,Team Secret,153242,1,20,17,False,,5401,The International 2017
3354057627,2140,1501791875,3331948,LGD.Forever Young,5,Invictus Gaming,153251,1,29,11,True,,5401,The International 2017
3353738510,3016,1501776049,1846548,HellRaisers,2581813,Execration.安博电竞,153217,1,33,50,False,,5401,The International 2017
3353742932,2372,1501776250,2512249,123,5,Invictus Gaming,153221,1,18,24,False,,5401,The International 2017
3352501269,1943,1501724893,46,Team Empire,2672298,NoPing Esports,153149,1,18,38,False,,5401,The International 2017
3352509754,1836,1501725519,1838315,Team Secret,15,LGD Gaming,153150,1,12,21,False,,5401,The International 2017
3352505678,2879,1501725151,2163,Team Liquid,39,Shopify Rebellion,153151,1,24,39,False,,5401,The International 2017
3353737967,2602,1501776097,3331948,LGD.Forever Young,1883502,Virtus.pro,153216,1,26,18,True,,5401,The International 2017
3352464853,2041,1501721846,350190,Ascent Esports,2108395,TNC Predator,153145,1,16,29,False,,5401,The International 2017
3352462460,2192,1501721682,2163,Team Liquid,39,Shopify Rebellion,153151,1,22,16,True,,5401,The International 2017
3352461389,2117,1501721772,15,LGD Gaming,1838315,Team Secret,153150,1,26,15,True,,5401,The International 2017
3352405556,3288,1501717050,2586976,OG,2512249,123,153139,1,43,39,True,,5401,The International 2017
3352455755,2376,1501721066,46,Team Empire,2672298,NoPing Esports,153149,1,37,16,True,,5401,The International 2017
3352367990,2291,1501713461,3331948,LGD.Forever Young,1846548,HellRaisers,153140,1,25,11,True,,5401,The International 2017
3352328440,1865,1501710110,2640025,iG.Vitality,39,Shopify Rebellion,153135,1,37,12,True,,5401,The International 2017
3352327788,1635,1501710133,2163,Team Liquid,350190,Ascent Esports,153134,1,30,20,True,,5401,The International 2017
3352320088,3494,1501709805,2672298,NoPing Esports,1838315,Team Secret,153132,1,32,37,True,,5401,The International 2017
3352237075,2201,1501704325,3331948,LGD.Forever Young,2581813,Execration.安博电竞,153128,1,31,12,True,,5401,The International 2017
3352267755,1996,1501706345,1838315,Team Secret,2672298,NoPing Esports,153132,1,28,9,True,,5401,The International 2017
3352291980,1005,1501707728,2640025,iG.Vitality,39,Shopify Rebellion,153135,1,3,18,False,,5401,The International 2017
3352286942,1402,1501707341,2163,Team Liquid,350190,Ascent Esports,153134,1,20,6,True,,5401,The International 2017
3352163167,2782,1501700250,2581813,Execration.安博电竞,3331948,LGD.Forever Young,153128,1,21,45,False,,5401,The International 2017
3352190511,2856,1501701837,1333179,,2586976,OG,153123,1,27,30,False,,5401,The International 2017
3352061045,3137,1501694328,2163,Team Liquid,2640025,iG.Vitality,153100,1,36,44,True,,5401,The International 2017
3352153962,2294,1501699478,1883502,Virtus.pro,2512249,123,153121,1,27,15,True,,5401,The International 2017
3352104337,2316,1501696708,46,Team Empire,1838315,Team Secret,153107,1,17,24,False,,5401,The International 2017
3352119361,2608,1501697435,1333179,,2586976,OG,153123,1,22,22,False,,5401,The International 2017
